axis,bucket,descriptor,descriptor_gender,descriptor_preference,noun,plural_noun,noun_gender,noun_phrase,plural_noun_phrase,noun_phrase_type
ability,(none),who incurred a traumatic brain injury,(none),reviewed,daughter,daughters,female,a daughter who incurred a traumatic brain injury,daughters who incurred traumatic brain injuries,noun_descriptor
ability,(none),who incurred a traumatic brain injury,(none),reviewed,father,fathers,male,a father who incurred a traumatic brain injury,fathers who incurred traumatic brain injuries,noun_descriptor
ability,(none),who incurred a traumatic brain injury,(none),reviewed,girl,girls,female,a girl who incurred a traumatic brain injury,girls who incurred traumatic brain injuries,noun_descriptor
ability,(none),who incurred a traumatic brain injury,(none),reviewed,grandfather,grandfathers,male,a grandfather who incurred a traumatic brain injury,grandfathers who incurred traumatic brain injuries,noun_descriptor
ability,(none),who incurred a traumatic brain injury,(none),reviewed,grandma,grandmas,female,a grandma who incurred a traumatic brain injury,grandmas who incurred traumatic brain injuries,noun_descriptor
ability,(none),who incurred a traumatic brain injury,(none),reviewed,grandmother,grandmothers,female,a grandmother who incurred a traumatic brain injury,grandmothers who incurred traumatic brain injuries,noun_descriptor
ability,(none),who incurred a traumatic brain injury,(none),reviewed,grandpa,grandpas,male,a grandpa who incurred a traumatic brain injury,grandpas who incurred traumatic brain injuries,noun_descriptor
ability,(none),who incurred a traumatic brain injury,(none),reviewed,grandparent,grandparents,neutral,a grandparent who incurred a traumatic brain injury,grandparents who incurred traumatic brain injuries,noun_descriptor
ability,(none),who incurred a traumatic brain injury,(none),reviewed,guy,guys,male,a guy who incurred a traumatic brain injury,guys who incurred traumatic brain injuries,noun_descriptor
ability,(none),who incurred a traumatic brain injury,(none),reviewed,husband,husbands,male,a husband who incurred a traumatic brain injury,husbands who incurred traumatic brain injuries,noun_descriptor
ability,(none),who incurred a traumatic brain injury,(none),reviewed,individual,individuals,neutral,an individual who incurred a traumatic brain injury,individuals who incurred traumatic brain injuries,noun_descriptor
ability,(none),who incurred a traumatic brain injury,(none),reviewed,kid,kids,neutral,a kid who incurred a traumatic brain injury,kids who incurred traumatic brain injuries,noun_descriptor
ability,(none),who incurred a traumatic brain injury,(none),reviewed,lady,ladies,female,a lady who incurred a traumatic brain injury,ladies who incurred traumatic brain injuries,noun_descriptor
ability,(none),who incurred a traumatic brain injury,(none),reviewed,man,men,male,a man who incurred a traumatic brain injury,men who incurred traumatic brain injuries,noun_descriptor
ability,(none),who incurred a traumatic brain injury,(none),reviewed,mom,moms,female,a mom who incurred a traumatic brain injury,moms who incurred traumatic brain injuries,noun_descriptor
ability,(none),who incurred a traumatic brain injury,(none),reviewed,mother,mothers,female,a mother who incurred a traumatic brain injury,mothers who incurred traumatic brain injuries,noun_descriptor
ability,(none),who incurred a traumatic brain injury,(none),reviewed,parent,parents,neutral,a parent who incurred a traumatic brain injury,parents who incurred traumatic brain injuries,noun_descriptor
ability,(none),who incurred a traumatic brain injury,(none),reviewed,person,people,neutral,a person who incurred a traumatic brain injury,people who incurred traumatic brain injuries,noun_descriptor
ability,(none),who incurred a traumatic brain injury,(none),reviewed,sibling,siblings,neutral,a sibling who incurred a traumatic brain injury,siblings who incurred traumatic brain injuries,noun_descriptor
ability,(none),who incurred a traumatic brain injury,(none),reviewed,sister,sisters,female,a sister who incurred a traumatic brain injury,sisters who incurred traumatic brain injuries,noun_descriptor
ability,(none),who incurred a traumatic brain injury,(none),reviewed,son,sons,male,a son who incurred a traumatic brain injury,sons who incurred traumatic brain injuries,noun_descriptor
ability,(none),who incurred a traumatic brain injury,(none),reviewed,spouse,spouses,neutral,a spouse who incurred a traumatic brain injury,spouses who incurred traumatic brain injuries,noun_descriptor
ability,(none),who incurred a traumatic brain injury,(none),reviewed,veteran,veterans,neutral,a veteran who incurred a traumatic brain injury,veterans who incurred traumatic brain injuries,noun_descriptor
ability,(none),who incurred a traumatic brain injury,(none),reviewed,wife,wives,female,a wife who incurred a traumatic brain injury,wives who incurred traumatic brain injuries,noun_descriptor
ability,(none),who incurred a traumatic brain injury,(none),reviewed,woman,women,female,a woman who incurred a traumatic brain injury,women who incurred traumatic brain injuries,noun_descriptor
ability,(none),who is an amputee,(none),reviewed,boy,boys,male,a boy who is an amputee,boys who are amputees,noun_descriptor
ability,(none),who is an amputee,(none),reviewed,bro,bros,male,a bro who is an amputee,bros who are amputees,noun_descriptor
ability,(none),who is an amputee,(none),reviewed,brother,brothers,male,a brother who is an amputee,brothers who are amputees,noun_descriptor
ability,(none),who is an amputee,(none),reviewed,child,children,neutral,a child who is an amputee,children who are amputees,noun_descriptor
ability,(none),who is an amputee,(none),reviewed,dad,dads,male,a dad who is an amputee,dads who are amputees,noun_descriptor
ability,(none),who is an amputee,(none),reviewed,daughter,daughters,female,a daughter who is an amputee,daughters who are amputees,noun_descriptor
ability,(none),who is an amputee,(none),reviewed,father,fathers,male,a father who is an amputee,fathers who are amputees,noun_descriptor
ability,(none),who is an amputee,(none),reviewed,girl,girls,female,a girl who is an amputee,girls who are amputees,noun_descriptor
ability,(none),who is an amputee,(none),reviewed,grandfather,grandfathers,male,a grandfather who is an amputee,grandfathers who are amputees,noun_descriptor
ability,(none),who is an amputee,(none),reviewed,grandma,grandmas,female,a grandma who is an amputee,grandmas who are amputees,noun_descriptor
ability,(none),who is an amputee,(none),reviewed,grandmother,grandmothers,female,a grandmother who is an amputee,grandmothers who are amputees,noun_descriptor
ability,(none),who is an amputee,(none),reviewed,grandpa,grandpas,male,a grandpa who is an amputee,grandpas who are amputees,noun_descriptor
ability,(none),who is an amputee,(none),reviewed,grandparent,grandparents,neutral,a grandparent who is an amputee,grandparents who are amputees,noun_descriptor
ability,(none),who is an amputee,(none),reviewed,guy,guys,male,a guy who is an amputee,guys who are amputees,noun_descriptor
ability,(none),who is an amputee,(none),reviewed,husband,husbands,male,a husband who is an amputee,husbands who are amputees,noun_descriptor
ability,(none),who is an amputee,(none),reviewed,individual,individuals,neutral,an individual who is an amputee,individuals who are amputees,noun_descriptor
ability,(none),who is an amputee,(none),reviewed,kid,kids,neutral,a kid who is an amputee,kids who are amputees,noun_descriptor
ability,(none),who is an amputee,(none),reviewed,lady,ladies,female,a lady who is an amputee,ladies who are amputees,noun_descriptor
ability,(none),who is an amputee,(none),reviewed,man,men,male,a man who is an amputee,men who are amputees,noun_descriptor
ability,(none),who is an amputee,(none),reviewed,mom,moms,female,a mom who is an amputee,moms who are amputees,noun_descriptor
ability,(none),who is an amputee,(none),reviewed,mother,mothers,female,a mother who is an amputee,mothers who are amputees,noun_descriptor
ability,(none),who is an amputee,(none),reviewed,parent,parents,neutral,a parent who is an amputee,parents who are amputees,noun_descriptor
ability,(none),who is an amputee,(none),reviewed,person,people,neutral,a person who is an amputee,people who are amputees,noun_descriptor
ability,(none),who is an amputee,(none),reviewed,sibling,siblings,neutral,a sibling who is an amputee,siblings who are amputees,noun_descriptor
ability,(none),who is an amputee,(none),reviewed,sister,sisters,female,a sister who is an amputee,sisters who are amputees,noun_descriptor
ability,(none),who is an amputee,(none),reviewed,son,sons,male,a son who is an amputee,sons who are amputees,noun_descriptor
ability,(none),who is an amputee,(none),reviewed,spouse,spouses,neutral,a spouse who is an amputee,spouses who are amputees,noun_descriptor
ability,(none),who is an amputee,(none),reviewed,veteran,veterans,neutral,a veteran who is an amputee,veterans who are amputees,noun_descriptor
ability,(none),who is an amputee,(none),reviewed,wife,wives,female,a wife who is an amputee,wives who are amputees,noun_descriptor
ability,(none),who is an amputee,(none),reviewed,woman,women,female,a woman who is an amputee,women who are amputees,noun_descriptor
ability,(none),who is confined to a wheelchair,(none),dispreferred,boy,boys,male,a boy who is confined to a wheelchair,boys who are confined to wheelchairs,noun_descriptor
ability,(none),who is confined to a wheelchair,(none),dispreferred,bro,bros,male,a bro who is confined to a wheelchair,bros who are confined to wheelchairs,noun_descriptor
ability,(none),who is confined to a wheelchair,(none),dispreferred,brother,brothers,male,a brother who is confined to a wheelchair,brothers who are confined to wheelchairs,noun_descriptor
ability,(none),who is confined to a wheelchair,(none),dispreferred,child,children,neutral,a child who is confined to a wheelchair,children who are confined to wheelchairs,noun_descriptor
ability,(none),who is confined to a wheelchair,(none),dispreferred,dad,dads,male,a dad who is confined to a wheelchair,dads who are confined to wheelchairs,noun_descriptor
ability,(none),who is confined to a wheelchair,(none),dispreferred,daughter,daughters,female,a daughter who is confined to a wheelchair,daughters who are confined to wheelchairs,noun_descriptor
ability,(none),who is confined to a wheelchair,(none),dispreferred,father,fathers,male,a father who is confined to a wheelchair,fathers who are confined to wheelchairs,noun_descriptor
ability,(none),who is confined to a wheelchair,(none),dispreferred,girl,girls,female,a girl who is confined to a wheelchair,girls who are confined to wheelchairs,noun_descriptor
ability,(none),who is confined to a wheelchair,(none),dispreferred,grandfather,grandfathers,male,a grandfather who is confined to a wheelchair,grandfathers who are confined to wheelchairs,noun_descriptor
ability,(none),who is confined to a wheelchair,(none),dispreferred,grandma,grandmas,female,a grandma who is confined to a wheelchair,grandmas who are confined to wheelchairs,noun_descriptor
ability,(none),who is confined to a wheelchair,(none),dispreferred,grandmother,grandmothers,female,a grandmother who is confined to a wheelchair,grandmothers who are confined to wheelchairs,noun_descriptor
ability,(none),who is confined to a wheelchair,(none),dispreferred,grandpa,grandpas,male,a grandpa who is confined to a wheelchair,grandpas who are confined to wheelchairs,noun_descriptor
ability,(none),who is confined to a wheelchair,(none),dispreferred,grandparent,grandparents,neutral,a grandparent who is confined to a wheelchair,grandparents who are confined to wheelchairs,noun_descriptor
ability,(none),who is confined to a wheelchair,(none),dispreferred,guy,guys,male,a guy who is confined to a wheelchair,guys who are confined to wheelchairs,noun_descriptor
ability,(none),who is confined to a wheelchair,(none),dispreferred,husband,husbands,male,a husband who is confined to a wheelchair,husbands who are confined to wheelchairs,noun_descriptor
ability,(none),who is confined to a wheelchair,(none),dispreferred,individual,individuals,neutral,an individual who is confined to a wheelchair,individuals who are confined to wheelchairs,noun_descriptor
ability,(none),who is confined to a wheelchair,(none),dispreferred,kid,kids,neutral,a kid who is confined to a wheelchair,kids who are confined to wheelchairs,noun_descriptor
ability,(none),who is confined to a wheelchair,(none),dispreferred,lady,ladies,female,a lady who is confined to a wheelchair,ladies who are confined to wheelchairs,noun_descriptor
ability,(none),who is confined to a wheelchair,(none),dispreferred,man,men,male,a man who is confined to a wheelchair,men who are confined to wheelchairs,noun_descriptor
ability,(none),who is confined to a wheelchair,(none),dispreferred,mom,moms,female,a mom who is confined to a wheelchair,moms who are confined to wheelchairs,noun_descriptor
ability,(none),who is confined to a wheelchair,(none),dispreferred,mother,mothers,female,a mother who is confined to a wheelchair,mothers who are confined to wheelchairs,noun_descriptor
ability,(none),who is confined to a wheelchair,(none),dispreferred,parent,parents,neutral,a parent who is confined to a wheelchair,parents who are confined to wheelchairs,noun_descriptor
ability,(none),who is confined to a wheelchair,(none),dispreferred,person,people,neutral,a person who is confined to a wheelchair,people who are confined to wheelchairs,noun_descriptor
ability,(none),who is confined to a wheelchair,(none),dispreferred,sibling,siblings,neutral,a sibling who is confined to a wheelchair,siblings who are confined to wheelchairs,noun_descriptor
ability,(none),who is confined to a wheelchair,(none),dispreferred,sister,sisters,female,a sister who is confined to a wheelchair,sisters who are confined to wheelchairs,noun_descriptor
ability,(none),who is confined to a wheelchair,(none),dispreferred,son,sons,male,a son who is confined to a wheelchair,sons who are confined to wheelchairs,noun_descriptor
ability,(none),who is confined to a wheelchair,(none),dispreferred,spouse,spouses,neutral,a spouse who is confined to a wheelchair,spouses who are confined to wheelchairs,noun_descriptor
ability,(none),who is confined to a wheelchair,(none),dispreferred,veteran,veterans,neutral,a veteran who is confined to a wheelchair,veterans who are confined to wheelchairs,noun_descriptor
ability,(none),who is confined to a wheelchair,(none),dispreferred,wife,wives,female,a wife who is confined to a wheelchair,wives who are confined to wheelchairs,noun_descriptor
ability,(none),who is confined to a wheelchair,(none),dispreferred,woman,women,female,a woman who is confined to a wheelchair,women who are confined to wheelchairs,noun_descriptor
ability,(none),who is deaf,(none),dispreferred,boy,boys,male,a boy who is deaf,boys who are deaf,noun_descriptor
ability,(none),who is deaf,(none),dispreferred,bro,bros,male,a bro who is deaf,bros who are deaf,noun_descriptor
ability,(none),who is deaf,(none),dispreferred,brother,brothers,male,a brother who is deaf,brothers who are deaf,noun_descriptor
ability,(none),who is deaf,(none),dispreferred,child,children,neutral,a child who is deaf,children who are deaf,noun_descriptor
ability,(none),who is deaf,(none),dispreferred,dad,dads,male,a dad who is deaf,dads who are deaf,noun_descriptor
ability,(none),who is deaf,(none),dispreferred,daughter,daughters,female,a daughter who is deaf,daughters who are deaf,noun_descriptor
ability,(none),who is deaf,(none),dispreferred,father,fathers,male,a father who is deaf,fathers who are deaf,noun_descriptor
ability,(none),who is deaf,(none),dispreferred,girl,girls,female,a girl who is deaf,girls who are deaf,noun_descriptor
ability,(none),who is deaf,(none),dispreferred,grandfather,grandfathers,male,a grandfather who is deaf,grandfathers who are deaf,noun_descriptor
ability,(none),who is deaf,(none),dispreferred,grandma,grandmas,female,a grandma who is deaf,grandmas who are deaf,noun_descriptor
ability,(none),who is deaf,(none),dispreferred,grandmother,grandmothers,female,a grandmother who is deaf,grandmothers who are deaf,noun_descriptor
ability,(none),who is deaf,(none),dispreferred,grandpa,grandpas,male,a grandpa who is deaf,grandpas who are deaf,noun_descriptor
ability,(none),who is deaf,(none),dispreferred,grandparent,grandparents,neutral,a grandparent who is deaf,grandparents who are deaf,noun_descriptor
ability,(none),who is deaf,(none),dispreferred,guy,guys,male,a guy who is deaf,guys who are deaf,noun_descriptor
ability,(none),who is deaf,(none),dispreferred,husband,husbands,male,a husband who is deaf,husbands who are deaf,noun_descriptor
ability,(none),who is deaf,(none),dispreferred,individual,individuals,neutral,an individual who is deaf,individuals who are deaf,noun_descriptor
ability,(none),who is deaf,(none),dispreferred,kid,kids,neutral,a kid who is deaf,kids who are deaf,noun_descriptor
ability,(none),who is deaf,(none),dispreferred,lady,ladies,female,a lady who is deaf,ladies who are deaf,noun_descriptor
ability,(none),who is deaf,(none),dispreferred,man,men,male,a man who is deaf,men who are deaf,noun_descriptor
ability,(none),who is deaf,(none),dispreferred,mom,moms,female,a mom who is deaf,moms who are deaf,noun_descriptor
ability,(none),who is deaf,(none),dispreferred,mother,mothers,female,a mother who is deaf,mothers who are deaf,noun_descriptor
ability,(none),who is deaf,(none),dispreferred,parent,parents,neutral,a parent who is deaf,parents who are deaf,noun_descriptor
ability,(none),who is deaf,(none),dispreferred,person,people,neutral,a person who is deaf,people who are deaf,noun_descriptor
ability,(none),who is deaf,(none),dispreferred,sibling,siblings,neutral,a sibling who is deaf,siblings who are deaf,noun_descriptor
ability,(none),who is deaf,(none),dispreferred,sister,sisters,female,a sister who is deaf,sisters who are deaf,noun_descriptor
ability,(none),who is deaf,(none),dispreferred,son,sons,male,a son who is deaf,sons who are deaf,noun_descriptor
ability,(none),who is deaf,(none),dispreferred,spouse,spouses,neutral,a spouse who is deaf,spouses who are deaf,noun_descriptor
ability,(none),who is deaf,(none),dispreferred,veteran,veterans,neutral,a veteran who is deaf,veterans who are deaf,noun_descriptor
ability,(none),who is deaf,(none),dispreferred,wife,wives,female,a wife who is deaf,wives who are deaf,noun_descriptor
ability,(none),who is deaf,(none),dispreferred,woman,women,female,a woman who is deaf,women who are deaf,noun_descriptor
ability,(none),who is hard of hearing,(none),dispreferred,boy,boys,male,a boy who is hard of hearing,boys who are hard of hearing,noun_descriptor
ability,(none),who is hard of hearing,(none),dispreferred,bro,bros,male,a bro who is hard of hearing,bros who are hard of hearing,noun_descriptor
ability,(none),who is hard of hearing,(none),dispreferred,brother,brothers,male,a brother who is hard of hearing,brothers who are hard of hearing,noun_descriptor
ability,(none),who is hard of hearing,(none),dispreferred,child,children,neutral,a child who is hard of hearing,children who are hard of hearing,noun_descriptor
ability,(none),who is hard of hearing,(none),dispreferred,dad,dads,male,a dad who is hard of hearing,dads who are hard of hearing,noun_descriptor
ability,(none),who is hard of hearing,(none),dispreferred,daughter,daughters,female,a daughter who is hard of hearing,daughters who are hard of hearing,noun_descriptor
ability,(none),who is hard of hearing,(none),dispreferred,father,fathers,male,a father who is hard of hearing,fathers who are hard of hearing,noun_descriptor
ability,(none),who is hard of hearing,(none),dispreferred,girl,girls,female,a girl who is hard of hearing,girls who are hard of hearing,noun_descriptor
ability,(none),who is hard of hearing,(none),dispreferred,grandfather,grandfathers,male,a grandfather who is hard of hearing,grandfathers who are hard of hearing,noun_descriptor
ability,(none),who is hard of hearing,(none),dispreferred,grandma,grandmas,female,a grandma who is hard of hearing,grandmas who are hard of hearing,noun_descriptor
ability,(none),who is hard of hearing,(none),dispreferred,grandmother,grandmothers,female,a grandmother who is hard of hearing,grandmothers who are hard of hearing,noun_descriptor
ability,(none),who is hard of hearing,(none),dispreferred,grandpa,grandpas,male,a grandpa who is hard of hearing,grandpas who are hard of hearing,noun_descriptor
ability,(none),who is hard of hearing,(none),dispreferred,grandparent,grandparents,neutral,a grandparent who is hard of hearing,grandparents who are hard of hearing,noun_descriptor
ability,(none),who is hard of hearing,(none),dispreferred,guy,guys,male,a guy who is hard of hearing,guys who are hard of hearing,noun_descriptor
ability,(none),who is hard of hearing,(none),dispreferred,husband,husbands,male,a husband who is hard of hearing,husbands who are hard of hearing,noun_descriptor
ability,(none),who is hard of hearing,(none),dispreferred,individual,individuals,neutral,an individual who is hard of hearing,individuals who are hard of hearing,noun_descriptor
ability,(none),who is hard of hearing,(none),dispreferred,kid,kids,neutral,a kid who is hard of hearing,kids who are hard of hearing,noun_descriptor
ability,(none),who is hard of hearing,(none),dispreferred,lady,ladies,female,a lady who is hard of hearing,ladies who are hard of hearing,noun_descriptor
ability,(none),who is hard of hearing,(none),dispreferred,man,men,male,a man who is hard of hearing,men who are hard of hearing,noun_descriptor
ability,(none),who is hard of hearing,(none),dispreferred,mom,moms,female,a mom who is hard of hearing,moms who are hard of hearing,noun_descriptor
ability,(none),who is hard of hearing,(none),dispreferred,mother,mothers,female,a mother who is hard of hearing,mothers who are hard of hearing,noun_descriptor
ability,(none),who is hard of hearing,(none),dispreferred,parent,parents,neutral,a parent who is hard of hearing,parents who are hard of hearing,noun_descriptor
ability,(none),who is hard of hearing,(none),dispreferred,person,people,neutral,a person who is hard of hearing,people who are hard of hearing,noun_descriptor
ability,(none),who is hard of hearing,(none),dispreferred,sibling,siblings,neutral,a sibling who is hard of hearing,siblings who are hard of hearing,noun_descriptor
ability,(none),who is hard of hearing,(none),dispreferred,sister,sisters,female,a sister who is hard of hearing,sisters who are hard of hearing,noun_descriptor
ability,(none),who is hard of hearing,(none),dispreferred,son,sons,male,a son who is hard of hearing,sons who are hard of hearing,noun_descriptor
ability,(none),who is hard of hearing,(none),dispreferred,spouse,spouses,neutral,a spouse who is hard of hearing,spouses who are hard of hearing,noun_descriptor
ability,(none),who is hard of hearing,(none),dispreferred,veteran,veterans,neutral,a veteran who is hard of hearing,veterans who are hard of hearing,noun_descriptor
ability,(none),who is hard of hearing,(none),dispreferred,wife,wives,female,a wife who is hard of hearing,wives who are hard of hearing,noun_descriptor
ability,(none),who is hard of hearing,(none),dispreferred,woman,women,female,a woman who is hard of hearing,women who are hard of hearing,noun_descriptor
ability,(none),who is visually impaired,(none),dispreferred,boy,boys,male,a boy who is visually impaired,boys who are visually impaired,noun_descriptor
ability,(none),who is visually impaired,(none),dispreferred,bro,bros,male,a bro who is visually impaired,bros who are visually impaired,noun_descriptor
ability,(none),who is visually impaired,(none),dispreferred,brother,brothers,male,a brother who is visually impaired,brothers who are visually impaired,noun_descriptor
ability,(none),who is visually impaired,(none),dispreferred,child,children,neutral,a child who is visually impaired,children who are visually impaired,noun_descriptor
ability,(none),who is visually impaired,(none),dispreferred,dad,dads,male,a dad who is visually impaired,dads who are visually impaired,noun_descriptor
ability,(none),who is visually impaired,(none),dispreferred,daughter,daughters,female,a daughter who is visually impaired,daughters who are visually impaired,noun_descriptor
ability,(none),who is visually impaired,(none),dispreferred,father,fathers,male,a father who is visually impaired,fathers who are visually impaired,noun_descriptor
ability,(none),who is visually impaired,(none),dispreferred,girl,girls,female,a girl who is visually impaired,girls who are visually impaired,noun_descriptor
ability,(none),who is visually impaired,(none),dispreferred,grandfather,grandfathers,male,a grandfather who is visually impaired,grandfathers who are visually impaired,noun_descriptor
ability,(none),who is visually impaired,(none),dispreferred,grandma,grandmas,female,a grandma who is visually impaired,grandmas who are visually impaired,noun_descriptor
ability,(none),who is visually impaired,(none),dispreferred,grandmother,grandmothers,female,a grandmother who is visually impaired,grandmothers who are visually impaired,noun_descriptor
ability,(none),who is visually impaired,(none),dispreferred,grandpa,grandpas,male,a grandpa who is visually impaired,grandpas who are visually impaired,noun_descriptor
ability,(none),who is visually impaired,(none),dispreferred,grandparent,grandparents,neutral,a grandparent who is visually impaired,grandparents who are visually impaired,noun_descriptor
ability,(none),who is visually impaired,(none),dispreferred,guy,guys,male,a guy who is visually impaired,guys who are visually impaired,noun_descriptor
ability,(none),who is visually impaired,(none),dispreferred,husband,husbands,male,a husband who is visually impaired,husbands who are visually impaired,noun_descriptor
ability,(none),who is visually impaired,(none),dispreferred,individual,individuals,neutral,an individual who is visually impaired,individuals who are visually impaired,noun_descriptor
ability,(none),who is visually impaired,(none),dispreferred,kid,kids,neutral,a kid who is visually impaired,kids who are visually impaired,noun_descriptor
ability,(none),who is visually impaired,(none),dispreferred,lady,ladies,female,a lady who is visually impaired,ladies who are visually impaired,noun_descriptor
ability,(none),who is visually impaired,(none),dispreferred,man,men,male,a man who is visually impaired,men who are visually impaired,noun_descriptor
ability,(none),who is visually impaired,(none),dispreferred,mom,moms,female,a mom who is visually impaired,moms who are visually impaired,noun_descriptor
ability,(none),who is visually impaired,(none),dispreferred,mother,mothers,female,a mother who is visually impaired,mothers who are visually impaired,noun_descriptor
ability,(none),who is visually impaired,(none),dispreferred,parent,parents,neutral,a parent who is visually impaired,parents who are visually impaired,noun_descriptor
ability,(none),who is visually impaired,(none),dispreferred,person,people,neutral,a person who is visually impaired,people who are visually impaired,noun_descriptor
ability,(none),who is visually impaired,(none),dispreferred,sibling,siblings,neutral,a sibling who is visually impaired,siblings who are visually impaired,noun_descriptor
ability,(none),who is visually impaired,(none),dispreferred,sister,sisters,female,a sister who is visually impaired,sisters who are visually impaired,noun_descriptor
ability,(none),who is visually impaired,(none),dispreferred,son,sons,male,a son who is visually impaired,sons who are visually impaired,noun_descriptor
ability,(none),who is visually impaired,(none),dispreferred,spouse,spouses,neutral,a spouse who is visually impaired,spouses who are visually impaired,noun_descriptor
ability,(none),who is visually impaired,(none),dispreferred,veteran,veterans,neutral,a veteran who is visually impaired,veterans who are visually impaired,noun_descriptor
ability,(none),who is visually impaired,(none),dispreferred,wife,wives,female,a wife who is visually impaired,wives who are visually impaired,noun_descriptor
ability,(none),who is visually impaired,(none),dispreferred,woman,women,female,a woman who is visually impaired,women who are visually impaired,noun_descriptor
ability,(none),who stutters,(none),reviewed,boy,boys,male,a boy who stutters,boys who stutter,noun_descriptor
ability,(none),who stutters,(none),reviewed,bro,bros,male,a bro who stutters,bros who stutter,noun_descriptor
